id,number_of_points,year,month,is_operational,municipality,region,country,latitude,longitude,rejection_reason,fetch_timestamp
484601,,2026,4,True,Kolari,Lapland,Finland,67.335388,23.821052,,2026-06-30 07:14:05.354549+00:00
484600,,2026,4,True,Kolari,Lapland,Finland,67.3268398,23.765041,,2026-06-30 07:14:05.354549+00:00
484599,,2026,4,True,Sodankylä,Lapland,Finland,67.1583023,26.9153004,,2026-06-30 07:14:05.354549+00:00
484598,,2026,4,True,Pelkosenniemi,Lapland,Finland,67.0888049,27.0479942,,2026-06-30 07:14:05.354549+00:00
484597,,2026,4,True,Pelkosenniemi,Lapland,Finland,67.0566025,27.2084999,,2026-06-30 07:14:05.354549+00:00
484596,,2026,4,True,Pelkosenniemi,Lapland,Finland,67.020517,27.238337,,2026-06-30 07:14:05.354549+00:00
484595,,2026,4,True,Pelkosenniemi,Lapland,Finland,67.017765,27.251544,,2026-06-30 07:14:05.354549+00:00
484594,,2026,4,True,Salla,Lapland,Finland,66.935762,28.845828,,2026-06-30 07:14:05.354549+00:00
484593,,2026,4,True,Kemijärvi,Lapland,Finland,66.904162,27.445006,,2026-06-30 07:14:05.354549+00:00
484592,,2026,4,True,Salla,Lapland,Finland,66.830535,28.672053,,2026-06-30 07:14:05.354549+00:00
484591,,2026,4,True,Salla,Lapland,Finland,66.8303366,28.670465,,2026-06-30 07:14:05.354549+00:00
484590,,2026,4,True,Salla,Lapland,Finland,66.822995,28.671784,,2026-06-30 07:14:05.354549+00:00
484589,,2026,4,True,Salla,Lapland,Finland,66.819215,28.677031,,2026-06-30 07:14:05.354549+00:00
484588,,2026,4,True,Pello,Lapland,Finland,66.774979,23.964733,,2026-06-30 07:14:05.354549+00:00
484587,,2026,4,True,Salla,Lapland,Finland,66.7700508,28.7622678,,2026-06-30 07:14:05.354549+00:00
484586,,2026,4,True,Salla,Lapland,Finland,66.765619,28.135294,,2026-06-30 07:14:05.354549+00:00
484585,,2026,4,True,Salla,Lapland,Finland,66.7567517,28.766311,,2026-06-30 07:14:05.354549+00:00
484584,,2026,4,True,Salla,Lapland,Finland,66.7405163,28.8199195,,2026-06-30 07:14:05.354549+00:00
484583,,2026,4,True,Kemijärvi,Lapland,Finland,66.7374081,27.359742,,2026-06-30 07:14:05.354549+00:00
484582,,2026,4,True,Kemijärvi,Lapland,Finland,66.721151,27.395418,,2026-06-30 07:14:05.354549+00:00
484581,,2026,4,True,Kemijärvi,Lapland,Finland,66.7187786,27.3907837,,2026-06-30 07:14:05.354549+00:00
484580,,2026,4,True,Kemijärvi,Lapland,Finland,66.715731,27.423972,,2026-06-30 07:14:05.354549+00:00
