country,year,month,region,number_of_new_registrations,driving_power,fetch_timestamp
Sweden,2021,5,Stockholm,2748,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,6,Stockholm,3194,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,7,Stockholm,1607,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,8,Stockholm,1566,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,9,Stockholm,1511,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,10,Stockholm,1338,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,11,Stockholm,1316,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2021,12,Stockholm,1430,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,1,Stockholm,1226,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,2,Stockholm,1264,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,3,Stockholm,1702,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,4,Stockholm,1491,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,5,Stockholm,1981,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,6,Stockholm,2540,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,7,Stockholm,2189,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,8,Stockholm,1701,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,9,Stockholm,1296,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,10,Stockholm,1112,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,11,Stockholm,1121,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2022,12,Stockholm,1116,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,1,Stockholm,878,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,2,Stockholm,914,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,3,Stockholm,1763,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,4,Stockholm,1305,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,5,Stockholm,1813,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,6,Stockholm,1915,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,7,Stockholm,1077,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,8,Stockholm,1165,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,9,Stockholm,1412,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,10,Stockholm,1493,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,11,Stockholm,1405,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2023,12,Stockholm,1990,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,1,Stockholm,1283,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,2,Stockholm,1807,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,3,Stockholm,1497,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,4,Stockholm,1620,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,5,Stockholm,2602,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,6,Stockholm,2587,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,7,Stockholm,1139,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,8,Stockholm,1274,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,9,Stockholm,1667,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,10,Stockholm,1628,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,11,Stockholm,1570,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2024,12,Stockholm,1534,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,1,Stockholm,1072,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,2,Stockholm,1167,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,3,Stockholm,1590,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,4,Stockholm,1630,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,5,Stockholm,2009,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,6,Stockholm,2493,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,7,Stockholm,1376,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,8,Stockholm,1301,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,9,Stockholm,1127,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,10,Stockholm,1327,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,11,Stockholm,987,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2025,12,Stockholm,1011,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2026,1,Stockholm,858,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2026,2,Stockholm,1047,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2026,3,Stockholm,1785,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2026,4,Stockholm,1490,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2026,5,Stockholm,1967,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,1,Stockholm,4159,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,2,Stockholm,5097,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,3,Stockholm,5757,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,4,Stockholm,6000,diesel,2026-06-30 07:14:11.597982+00:00
